측정일자,측정시간,지역,지역명,도로명,시작점,종점,기온,습도,재비산먼지 평균농도,오염범례
2021-07-01,9:44,서울,구로구,부일로,서울특별시 구로구 궁동 197-10,서울특별시 구로구 온수동 56,28,57,27,매우좋음
2021-07-01,10:04,서울,구로구,서해안로,서울특별시 구로구 항동 211-22,서울특별시 구로구 개봉동 243-2,28,58,18,매우좋음
2021-07-01,10:28,서울,구로구,중앙로,서울특별시 구로구 고척동 63-5,서울특별시 구로구 고척동 1-15,29,54,33,매우좋음
2021-07-01,10:35,서울,구로구,고척로,서울특별시 구로구 고척동 186-4,서울특별시 구로구 오류동 6-41,29,54,19,매우좋음
2021-07-01,11:04,서울,구로구,오리로,서울특별시 구로구 궁동 5,,29,56,23,매우좋음
2021-07-01,11:49,서울,구로구,금오로,경기도 광명시 옥길동 667-21,,31,,49,매우좋음
2021-07-01,11:57,서울,구로구,천왕로,서울특별시 구로구 천왕동 14-44,,31,50,22,매우좋음
2021-07-01,12:09,서울,구로구,개봉로,서울특별시 구로구 개봉동 372-1,,31,49,21,매우좋음
2021-07-01,12:23,서울,구로구,공원로,서울특별시 구로구 신도림동 422-10,,31,48,29,매우좋음
2021-07-01,12:30,서울,,,서울특별시 구로구 구로동 136-14,,32,,15,매우좋음
2021-07-01,12:41,서울,구로구,신도림로,서울특별시 구로구 신도림동 397-3,,31,48,22,매우좋음
2021-07-01,12:51,서울,구로구,새말로,서울특별시 구로구 구로동 1-4,,32,47,13,매우좋음
2021-07-01,13:02,서울,구로구,구로동로,서울특별시 구로구 구로동 496-119,,32,47,16,매우좋음
2021-07-01,13:15,서울,구로구,디지털로,,서울특별시 구로구 구로동 179-13,32,46,10,매우좋음
2021-07-01,13:24,서울,구로구,도림로,,서울특별시 구로구 구로동 772,32,47,27,매우좋음
2021-07-01,13:37,서울,구로구,가마산로,,,31,47,95,좋음
2021-07-01,13:49,서울,구로구,벚꽃로,,,31,48,152,나쁨
2021-07-01,,,,경인로,,,32,46,,매우좋음
2021-07-01,,,,경원대로,,,28,87,31,매우좋음
2021-07-01,,,,장제로,,,29,82,30,매우좋음
2021-07-01,10:25,인천,부평구,부평대로,,,30,75,25,매우좋음
2021-07-01,10:45,인천,부평구,부일로,,,29,78,31,매우좋음
2021-07-01,10:49,인천,부평구,대정로,,,29,77,23,매우좋음
2021-07-01,10:55,인천,부평구,부흥로,,,,73,34,매우좋음
2021-07-01,11:05,인천,부평구,부개로,,,29,77,29,매우좋음
2021-07-01,11:09,인천,부평구,길주로,,인천광역시 부평구 산곡동 97-1,30,77,25,매우좋음
2021-07-01,11:20,인천,부평구,원적로,,인천광역시 부평구 부평동 38-130,30,78,26,매우좋음
2021-07-01,11:33,인천,부평구,주부토로,,인천광역시 부평구 갈산동 120-7,30,71,42,매우좋음
2021-07-01,,,,굴포로,,인천광역시 부평구 삼산동 452,31,66,22,매우좋음
2021-07-01,12:03,인천,부평구,부평북로,,인천광역시 부평구 청천동 388,30,70,20,매우좋음
2021-07-01,10:01,서울,금천구,문성로,,서울특별시 금천구 독산동 995-5,29,78,2,매우좋음
2021-07-01,10:08,서울,금천구,독산로,,서울특별시 금천구 시흥동 1000-133,29,78,7,매우좋음
2021-07-01,10:20,서울,금천구,은행나무로,,서울특별시 금천구 시흥동 910-23,29,80,29,매우좋음
2021-07-01,10:28,서울,금천구,금하로,,서울특별시 금천구 독산동 733-36,28,83,6,매우좋음
2021-07-01,10:38,서울,금천구,안양천로,,경기도 광명시 하안동 716,29,79,5,매우좋음
2021-07-01,10:48,서울,금천구,가산디지털2로,,서울특별시 금천구 가산동 481-12,29,76,14,매우좋음
2021-07-01,10:56,서울,금천구,가산디지털1로,,서울특별시 금천구 가산동 677,30,74,6,매우좋음
2021-07-01,11:41,서울,금천구,범안로,,서울특별시 금천구 독산동 1081-16,31,64,3,매우좋음
2021-07-01,12:50,인천,동구,중봉대로,,인천광역시 동구 송현동 1-843,30,72,46,매우좋음
2021-07-01,12:59,인천,동구,화도진로,,인천광역시 동구 송림동 234-8,30,69,40,매우좋음
2021-07-01,13:08,인천,동구,송림로,,인천광역시 동구 송림동 39,31,66,18,매우좋음
2021-07-01,13:11,인천,동구,샛골로,,인천광역시 동구 송현동 1-867,30,69,18,매우좋음
2021-07-01,13:16,인천,동구,방축로,,인천광역시 미추홀구 도화동 744-2,31,68,39,매우좋음
2021-07-01,13:32,인천,동구,새천년로,,인천광역시 동구 송림동 43-1,30,69,25,매우좋음
2021-07-01,13:37,인천,동구,인중로,,인천광역시 동구 만석동 43-187,31,68,58,좋음
2021-07-01,10:29,경기,용인시 수지구,수지로,,경기도 용인시 수지구 동천동 904,28,86,9,매우좋음
2021-07-01,10:46,경기,용인시 수지구,신수로,,경기도 용인시 수지구 풍덕천동 962,29,81,9,매우좋음
2021-07-01,10:50,경기,용인시 기흥구,신수로,,경기도 용인시 기흥구 보정동 1019-857,30,79,7,매우좋음
2021-07-01,10:58,경기,용인시 기흥구,용구대로,,경기도 용인시 기흥구 보정동 213-13,29,79,9,매우좋음
2021-07-01,11:10,경기,용인시 수지구,용구대로,,경기도 용인시 수지구 죽전동 930,29,79,10,매우좋음
2021-07-01,11:21,경기,용인시 수지구,현암로,,경기도 용인시 수지구 죽전동 1398,30,,29,매우좋음
2021-07-01,11:31,경기,용인시 수지구,죽전로,,경기도 용인시 기흥구 보정동 1353,29,81,9,매우좋음
2021-07-01,11:45,경기,용인시 기흥구,보정로,,경기도 용인시 기흥구 보정동 1361,29,80,7,매우좋음
2021-07-01,11:54,경기,용인시 수지구,포은대로,,경기도 용인시 수지구 상현동 352-1,31,71,11,매우좋음
