movie_index,movie_title,movie_rating
1,69세,8.64
2,강변호텔,6
3,그린 나이트,7.62
4,기담,7.49
5,꽃다발 같은 사랑을 했다,9.11
6,너와 파도를 탈 수 있다면,8.53
7,너의 췌장을 먹고 싶어,8.4
8,너의 췌장을 먹고 싶어 애니메이션,8.1
9,노매드랜드,8.47
10,더 수어사이드 스쿼드,7.11
11,독전,7.52
12,드림걸즈,8.58
13,레미니센스,7.01
14,릴리 슈슈의 모든 것,8.11
15,모가디슈,8.32
16,모던 타임즈,9.32
17,바울,9.17
18,번지 점프를 하다,8.98
19,별을 쫓는 아이,7.91
20,보스 베이비 2,9.11
21,분노,8.55
22,블랙 위도우,8.48
23,사냥의 시간,5.67
24,샹치와 텐 링즈의 전설,6.86
25,소셜 네트워크,7.84
26,신세계,8.93
27,싱크홀,6.79
28,악녀,6.97
29,언더독,9.32
30,언어의 정원,8.17
31,올드,6.72
32,우리의 20세기,8.25
33,위대한 독재자,9.23
34,윤희에게,8.96
35,이별의 아침에 약속의 꽃을 장식하자,8.91
36,이스케이프 룸 2: 노 웨이 아웃,8.31
37,인질,7.37
38,중경삼림,8.91
39,천로역정: 천국을 찾아서,8.85
40,초속5센티미터,8.35
41,캡틴 판타스틱,8.59
42,콜,7.57
43,크루엘라,9.23
44,킬러의 보디가드 2,7.18
45,프리 가이,9.12
46,피아노,8.58
47,하나와 앨리스,8.1
48,해피 투게더,9.19
49,호우시절,7.4
50,화양연화,8.77
