movie_index,movie_title,movie_rating
1,69세,3.5
2,강변호텔,3.3
3,그린 나이트,3.9
4,기담,3.1
5,꽃다발 같은 사랑을 했다,3.9
6,너와 파도를 탈 수 있다면,4
7,너의 췌장을 먹고 싶어,3.7
8,너의 췌장을 먹고 싶어: 애니메이션,3.9
9,노매드랜드,3.9
10,더 수어사이드 스쿼드,3.4
11,독전,3.8
12,드림걸즈,3.8
13,레미니센스,2.9
14,릴리 슈슈의 모든 것,3.7
15,모가디슈,3.5
16,모던 타임즈,4
17,바울,3.9
18,번지 점프를 하다,3.7
19,별을 쫓는 아이,3.5
20,보스 베이비 2,3.1
21,분노,3.8
22,블랙 위도우,3.7
23,사냥의 시간,2.5
24,샹치와 텐 링즈의 전설,3.2
25,소셜 네트워크,3.5
26,신세계,4.2
27,싱크홀,2.5
28,악녀,3.1
29,언더독,3.6
30,언어의 정원,3.7
31,올드,2.8
32,우리의 20세기,3.8
33,위대한 독재자,4
34,윤희에게,3.9
35,이별의 아침에 약속의 꽃을 장식하자,4
36,이스케이프 룸 2: 노 웨이 아웃,3.2
37,인질,2.9
38,중경삼림,4
39,천로역정: 천국을 찾아서,3
40,초속5센티미터,3.7
41,캡틴 판타스틱,3.9
42,콜,3.2
43,크루엘라,3.8
44,킬러의 보디가드 2,3.1
45,프리 가이,3.6
46,피아노,3.8
47,하나와 앨리스,3.5
48,해피 투게더,3.9
49,호우시절,3.2
50,화양연화,4
